"id-mapa";"anio";"mes";"dia";"fecha";"franja";"tipo";"subtipo";"uso_arma";"uso_moto";"barrio";"comuna";"latitud";"longitud";"cantidad"
42455;2022;"NOVIEMBRE";"VIERNES";"2022-11-04";17;"Robo";"Robo total";"NO";"NO";"PATERNAL";15;-34.60088;-58.465828;1
42456;2022;"NOVIEMBRE";"LUNES";"2022-11-07";10;"Hurto";"Hurto total";"NO";"NO";"PATERNAL";15;-34.603331;-58.459721;1
42457;2022;"NOVIEMBRE";"LUNES";"2022-11-14";7;"Robo";"Robo total";"NO";"NO";"CHACARITA";15;-34.58328545;-58.44759424;1
42458;2022;"NOVIEMBRE";"MARTES";"2022-11-15";17;"Hurto";"Hurto total";"NO";"NO";"CHACARITA";15;-34.58980364;-58.44792051;1
42459;2022;"NOVIEMBRE";"VIERNES";"2022-11-18";4;"Robo";"Robo total";"NO";"NO";"CHACARITA";15;-34.587429;-58.454975;1
42460;2022;"NOVIEMBRE";"MIERCOLES";"2022-11-30";8;"Robo";"Robo total";"SI";"NO";"PATERNAL";15;-34.599007;-58.461518;1
42461;2022;"NOVIEMBRE";"VIERNES";"2022-11-18";18;"Robo";"Robo total";"NO";"NO";"CHACARITA";15;-34.58508821;-58.45404;1
42462;2022;"NOVIEMBRE";"SABADO";"2022-11-19";11;"Robo";"Robo total";"NO";"NO";"CHACARITA";15;-34.587982;-58.452272;1
42463;2022;"NOVIEMBRE";"MARTES";"2022-11-22";17;"Robo";"Robo total";"NO";"NO";"PATERNAL";15;-34.602164;-58.469292;1
42464;2022;"NOVIEMBRE";"MARTES";"2022-11-22";23;"Robo";"Robo total";"NO";"NO";"CHACARITA";15;-34.587387;-58.449149;1
42465;2022;"NOVIEMBRE";"MIERCOLES";"2022-11-23";13;"Hurto";"Hurto total";"NO";"NO";"CHACARITA";15;-34.591718;-58.447574;1
42466;2022;"NOVIEMBRE";"MIERCOLES";"2022-11-23";17;"Robo";"Robo total";"NO";"NO";"PATERNAL";15;-34.60029715;-58.47068655;1
42467;2022;"NOVIEMBRE";"VIERNES";"2022-11-25";8;"Robo";"Robo total";"NO";"NO";"CHACARITA";15;-34.591702;-58.447601;1
42468;2022;"NOVIEMBRE";"VIERNES";"2022-11-25";12;"Robo";"Robo total";"SI";"NO";"BALVANERA";3;-34.604634;-58.399486;1
42469;2022;"NOVIEMBRE";"JUEVES";"2022-11-24";22;"Robo";"Robo total";"NO";"NO";"PATERNAL";15;-34.598318;-58.46618;1
42470;2022;"NOVIEMBRE";"LUNES";"2022-11-28";6;"Hurto";"Hurto total";"NO";"NO";"CHACARITA";15;-34.590279;-58.445938;1
42471;2022;"NOVIEMBRE";"LUNES";"2022-11-28";9;"Robo";"Robo total";"NO";"NO";"PATERNAL";15;-34.602754;-58.471071;1
42472;2022;"NOVIEMBRE";"MIERCOLES";"2022-11-23";16;"Hurto";"Hurto total";"NO";"NO";"MONSERRAT";1;-34.60891145;-58.37213424;1
42473;2022;"NOVIEMBRE";"MIERCOLES";"2022-11-30";7;"Robo";"Robo total";"SI";"NO";"VILLA RIACHUELO";8;-34.689219;-58.481451;1
42474;2022;"DICIEMBRE";"VIERNES";"2022-12-02";17;"Hurto";"Hurto total";"NO";"NO";"CHACARITA";15;-34.587117;-58.452208;1
